case_type,amount_due,days_overdue,npa_status,payment_history_score,total_past_defaults,failure_reason,recovered
transaction,8175.89,31,SMA-1,0.3798,2,insufficient_funds,0
loan,26304.6,27,SMA-0,0.8131,1,insufficient_funds,1
loan,43454.63,13,SMA-0,0.3248,3,bank_downtime,1
transaction,7130.09,55,SMA-1,0.7155,1,card_declined,0
transaction,17458.17,41,SMA-1,0.2748,3,bank_downtime,0
transaction,2218.62,91,NPA,0.9031,0,bank_downtime,0
transaction,15647.57,2,SMA-0,0.611,3,otp_failure,1
loan,43139.64,59,SMA-1,0.2691,1,insufficient_funds,0
loan,13181.79,75,SMA-2,0.2825,2,missed_emi,0
loan,24365.59,74,SMA-2,0.8168,0,insufficient_funds,0
transaction,3727.25,94,NPA,0.5752,2,otp_failure,0
loan,36797.19,70,SMA-2,0.3871,3,missed_emi,0
loan,29090.65,102,SMA-2,0.2657,2,insufficient_funds,0
transaction,12888.81,27,SMA-0,0.34,2,bank_downtime,0
transaction,4331.5,43,SMA-0,0.4498,4,insufficient_funds,0
transaction,4629.04,1,SMA-0,0.1313,4,card_declined,0
transaction,1309.2,0,Standard,0.6265,3,insufficient_funds,1
transaction,6780.32,19,SMA-0,0.3989,4,card_declined,0
transaction,11415.02,7,SMA-0,0.8065,0,otp_failure,1
transaction,17229.73,20,SMA-0,0.614,0,insufficient_funds,0
loan,35011.74,13,SMA-0,0.2771,3,missed_emi,0
transaction,8990.23,2,SMA-0,0.9462,0,otp_failure,1
transaction,19085.84,99,NPA,0.6455,1,insufficient_funds,0
transaction,14525.28,0,Standard,0.2342,3,insufficient_funds,0
transaction,18638.22,71,SMA-2,0.8116,2,card_declined,0
loan,28741.46,11,Standard,0.9149,0,bank_downtime,1
transaction,5548.63,99,NPA,0.6284,1,otp_failure,0
transaction,1530.12,96,NPA,0.3349,3,card_declined,0
transaction,14658.65,60,SMA-1,0.8952,2,insufficient_funds,0
transaction,2865.41,63,SMA-2,0.38,4,otp_failure,0
loan,18624.88,0,Standard,0.6124,1,missed_emi,1
transaction,10883.18,116,SMA-2,0.454,0,insufficient_funds,0
transaction,11506.12,93,NPA,0.5019,2,insufficient_funds,0
loan,32026.24,96,SMA-2,0.7416,3,missed_emi,0
loan,12481.49,61,SMA-2,0.8861,0,bank_downtime,0
loan,22088.18,28,SMA-0,0.9094,1,missed_emi,0
transaction,12535.29,96,NPA,0.6651,1,otp_failure,0
transaction,19411.47,23,SMA-0,0.5445,0,otp_failure,1
loan,37743.4,50,SMA-0,0.7755,1,insufficient_funds,0
transaction,18490.77,7,SMA-0,0.5136,3,card_declined,0
transaction,15363.14,101,NPA,0.5703,5,otp_failure,0
transaction,12038.48,10,SMA-0,0.3332,4,card_declined,0
transaction,4244.46,17,SMA-0,0.733,1,bank_downtime,1
loan,35000.85,49,SMA-1,0.8218,0,missed_emi,0
transaction,12655.9,75,SMA-2,0.7088,2,insufficient_funds,0
loan,32111.11,56,SMA-1,0.4307,0,insufficient_funds,0
transaction,10050.82,18,SMA-0,0.3281,5,card_declined,0
transaction,10808.8,0,Standard,0.7546,1,card_declined,1
transaction,7021.63,74,SMA-2,0.4589,4,bank_downtime,0
transaction,10626.6,116,NPA,0.7398,2,card_declined,0
loan,13890.02,82,SMA-1,0.7756,0,bank_downtime,0
loan,41232.85,39,SMA-1,0.5263,1,insufficient_funds,0
loan,13359.96,98,NPA,0.778,1,missed_emi,0
loan,8823.48,34,SMA-0,0.9096,0,insufficient_funds,1
transaction,9006.8,46,SMA-1,0.764,1,insufficient_funds,0
loan,34623.83,41,SMA-1,0.8269,0,insufficient_funds,1
transaction,9035.48,38,SMA-1,0.6919,1,card_declined,0
transaction,5896.71,76,SMA-2,0.7773,0,bank_downtime,0
transaction,11384.34,46,SMA-1,0.9037,3,otp_failure,1
transaction,7266.55,25,SMA-0,0.5695,2,card_declined,1
transaction,18690.92,20,SMA-0,0.6975,2,card_declined,0
transaction,18491.58,2,SMA-0,0.6813,0,bank_downtime,1
loan,27606.73,52,SMA-1,0.504,3,bank_downtime,0
transaction,6893.74,18,SMA-0,0.3629,2,card_declined,0
transaction,14874.08,11,SMA-0,0.4201,2,card_declined,0
transaction,1215.9,60,SMA-1,0.5596,2,card_declined,1
transaction,9758.0,64,SMA-2,0.8603,2,card_declined,0
loan,20134.55,73,SMA-2,0.4839,2,insufficient_funds,0
transaction,18450.45,43,SMA-1,0.5155,1,insufficient_funds,0
loan,5540.14,96,SMA-2,0.5137,3,missed_emi,0
loan,29876.67,104,SMA-2,0.7331,1,missed_emi,0
transaction,14942.94,81,SMA-2,0.9173,0,card_declined,0
transaction,9957.85,58,SMA-1,0.2187,3,insufficient_funds,0
loan,8843.14,24,SMA-0,0.8615,0,insufficient_funds,0
loan,48760.76,116,SMA-2,0.6916,1,insufficient_funds,0
loan,28310.47,22,SMA-0,0.7507,1,insufficient_funds,1
loan,32638.38,16,SMA-0,0.7669,1,insufficient_funds,0
transaction,5113.89,37,SMA-1,0.7515,1,otp_failure,1
transaction,9928.21,4,SMA-0,0.2094,3,card_declined,1
transaction,8868.42,114,NPA,0.5232,3,bank_downtime,0
loan,8370.31,53,SMA-1,0.5709,4,missed_emi,0
loan,9777.22,49,SMA-1,0.2226,2,missed_emi,0
transaction,16830.71,61,SMA-2,0.146,5,insufficient_funds,0
transaction,5176.49,43,SMA-1,0.7206,3,card_declined,0
transaction,4301.69,2,SMA-0,0.3462,3,card_declined,1
transaction,10345.77,55,SMA-1,0.6074,5,insufficient_funds,0
loan,39593.62,68,SMA-2,0.591,2,missed_emi,0
loan,7787.59,35,SMA-1,0.6273,2,missed_emi,0
loan,30956.36,74,SMA-2,0.9478,1,missed_emi,1
transaction,2824.6,18,SMA-0,0.4159,2,card_declined,1
transaction,1210.99,17,SMA-0,0.7902,1,otp_failure,1
loan,7373.48,12,SMA-0,0.8764,0,insufficient_funds,0
loan,42537.38,31,SMA-1,0.5282,1,insufficient_funds,0
transaction,2800.46,87,SMA-2,0.8897,0,otp_failure,1
loan,7031.81,84,SMA-2,0.6506,2,insufficient_funds,0
transaction,9039.05,32,SMA-1,0.4804,2,otp_failure,0
transaction,16957.87,53,SMA-1,0.8583,0,card_declined,0
transaction,5616.96,69,SMA-2,0.3642,3,card_declined,0
transaction,8723.4,19,SMA-0,0.2981,2,card_declined,1
transaction,1278.49,13,SMA-0,0.3996,3,insufficient_funds,0
transaction,9257.03,113,NPA,0.7289,2,insufficient_funds,0
loan,30992.59,56,SMA-1,0.6559,2,insufficient_funds,0
transaction,11632.69,115,NPA,0.5381,2,card_declined,0
transaction,6982.32,27,SMA-0,0.7445,5,card_declined,0
loan,19198.99,66,SMA-1,0.3558,4,insufficient_funds,0
transaction,2579.16,17,Standard,0.6869,0,otp_failure,1
transaction,7652.57,21,SMA-0,0.4352,2,insufficient_funds,0
loan,9477.26,44,SMA-1,0.5719,1,missed_emi,0
transaction,15448.62,26,SMA-0,0.4598,2,card_declined,0
transaction,19342.35,13,SMA-0,0.5753,3,card_declined,0
transaction,19416.45,21,SMA-0,0.6947,0,insufficient_funds,1
transaction,17368.89,2,SMA-0,0.0417,5,otp_failure,0
loan,32035.65,67,SMA-1,0.6568,1,bank_downtime,0
loan,36538.96,42,SMA-1,0.7968,2,missed_emi,0
loan,17834.26,7,SMA-0,0.7987,0,insufficient_funds,0
loan,33384.67,13,SMA-0,0.621,0,insufficient_funds,0
loan,25504.23,7,SMA-0,0.5368,2,missed_emi,0
transaction,9899.34,55,SMA-0,0.8989,1,card_declined,0
